ward_id,small_area,weight
10101005,1600086,7.48889637005e-05
10101005,1600002,0.000740004825349
10101005,1600092,8.18896460574e-05
10101005,1600044,0.0985319453272
10101005,1600005,6.14554487052e-06
10101006,1600040,0.0983505837132
10101006,1600024,0.999689564071
10101006,1600031,0.0111593692595
10101006,1600010,0.678688280358
10101006,1600079,0.996408851222
10101006,1600080,1.0
10101006,1600056,0.996582124733
10101006,1600012,1.0
10101006,1600039,1.0
10101006,1600026,1.0
10101006,1600032,1.0
10101006,1600048,1.0
10101006,1600038,1.0
10101006,1600082,0.00259577999532
10101006,1610011,9.57515327175e-10
10101006,1610006,2.8914426512e-07
10101006,1600005,0.000328502604632
10101007,1600085,0.000168794616616
10101007,1600055,1.0
10101007,1600054,1.0
10101007,1600067,1.0
10101007,1600047,1.0
10101007,1600059,1.0
10101007,1600064,1.0
10101007,1600061,1.0
10101007,1600077,1.0
10101007,1600053,1.0
10101007,1600057,1.0
10101007,1600069,1.0
10101007,1600049,0.999998911026
10101007,3660023,2.96889045186e-07
10101007,1600040,1.76545047329e-05
10101007,1600024,0.000306433571146
10101007,1600031,0.988836960752
10101007,1600088,0.999997570048
10101007,1600087,0.999997593226
10101007,1600010,0.00054121435765
10101007,1600079,0.00359114877778
10101007,1600056,0.00341787526711
10101007,1600082,0.618301463772
10101007,1610011,9.95270796823e-07
10101007,1600014,0.000124669444052
10101007,1600005,0.0984274818297
10101008,1600085,0.000400783999056
10101008,3660009,3.30833173762e-06
10101008,1600036,1.0
10101008,1600058,0.998955251205
10101008,1600042,0.422748842215
10101008,1600063,0.0441412233349
10101008,1600062,0.00361533256862
10101008,1600043,0.145760944265
10101008,1600001,0.00178432364731
10101008,1600065,1.0
10101008,1600017,0.614282057997
10101008,1600034,0.00364276337893
10101008,1600019,1.0
10101008,1600003,0.999995921211
10101008,1600093,1.0
10101008,1600008,0.0465517957464
10101008,1600083,0.0198685651866
10101008,1600044,0.000129067129959
10101008,1600007,0.998654273384
10101008,3650006,1.95829842565e-05
10101008,3650017,2.98951563499e-07
10101008,3660016,6.006600844e-07
10101008,1600090,1.0
10101008,3650005,3.55526694546e-07
10101008,1600005,0.901198531855
10101008,1600050,1.0
10101008,1600089,1.0
10102001,1610003,0.99787800976
10102001,1610005,0.28046454961
10102001,1610031,0.00048324230766
10102001,1610002,6.28446386418e-05
10102001,1610058,0.11214729198
10102001,1610056,0.776517919033
10102001,1610010,0.0179783864699
10102001,1610012,4.96370919651e-06
10102001,1610043,0.017579685993
10102001,1610055,0.000830371730076
10102001,1610026,0.00629350419403
10102001,1610048,0.0155060824628
10102001,1610016,0.87977041051
10102001,1610042,1.02256208866e-06
10102001,1610057,0.00169774104635
10102001,1620078,8.36911052101e-06
10102001,1620012,4.70152061634e-06
10102001,1610001,0.998478968448
10102001,1650040,4.57463842698e-06
10102001,1650011,5.59655451036e-11
10102001,1650026,9.69147747349e-07
10102001,1620008,1.62260659921e-06
10102001,1620005,1.31669279823e-06
10102001,1620004,1.83720144433e-06
10102002,1610003,6.47434415596e-05
10102002,1610058,0.88785270802
10102002,1610056,0.223482080967
10102002,1610010,0.982021600667
10102002,1610012,0.999995036291
10102002,1610013,1.0
10102002,1610043,0.982420314007
10102002,1610024,1.0
10102002,1610040,1.0
10102002,1610055,0.99916962827
10102002,1610026,0.993706495806
10102002,1610048,0.984493917537
10102002,1610016,0.12022958949
10102002,1610042,0.999998977438
10102002,1610057,0.998302258954
10102002,1610001,2.90333391856e-05
10102003,1610005,0.000268448091174
10102003,1610007,9.96672092212e-05
10102003,1610028,1.0
10102003,1610047,1.0
10102003,1610041,1.0
10102003,1610034,1.0
10102003,1610008,1.0
10102003,1610020,1.0
10102003,1610023,1.0
10102003,1610025,1.0
10102003,1610059,0.998030335899
10102003,1610022,1.0
10102003,1610053,1.0
10102003,1610033,1.0
10102003,1610051,0.94950342682
10102003,1610037,0.740936782666
10102003,1610031,2.91174717186e-05
10102003,1610002,0.425098740437
10102003,1610006,2.19341267832e-06
10102004,1600040,2.01315380493e-06
10102004,1600024,3.4324952319e-06
10102004,1620021,3.92088941607e-06
10102004,1620030,2.05449745904e-06
10102004,1610003,0.000112163660777
10102004,1610005,0.719264097298
10102004,1610054,0.999889648454
10102004,1610009,1.0
10102004,1610007,0.999818042008
10102004,1610029,1.0
10102004,1610019,1.0
10102004,1610030,1.0
