precinct,population
STANDERTON,69593.96798824125
SOPHIA TOWN,80296.48654064308
FOURIESBURG,18420.971549491136
WOLMARANSSTAD,44694.44968185389
MOUNT FLETCHER,65169.86964924557
NAMAKGALE,80021.47692524013
UNIONDALE,13939.397964777534
SOUTPAN,4208.213012073218
DINGLETON,4063.7551337423765
MAKAPANSTAD,53009.39730905205
KINKELBOS,2576.72703565572
NOTTINGHAM ROAD,8948.172339213788
LAUDIUM,27293.630476210776
RIETBRON,1627.558602992156
MIDRAND,80789.30836476389
HAZYVIEW,39172.45541262825
SABIE,19475.491782269943
DUNCAN VILLAGE,72510.92306592937
EDENBURG,7706.836229512822
VANRHYNSDORP,7667.309808112159
MASHASHANE,55083.13219324353
MPISI,24953.44725602447
HENNENMAN,26199.719921521886
ROSEDALE,42945.92116609786
ROOIBERG,5712.1029058065305
MTONTSASA,38651.115428350204
KLEINMOND,9110.383188240412
FRASERBURG,4110.048157213132
MAKHADO,59894.64924788428
CAROLINA,22361.764312607967
TABLE BAY HARBOUR,2389.676799368076
KAKAMAS,23907.55457978962
ROUXVILLE,8302.318436092539
MTHATHA,168586.92401702766
BRITS,82460.32586131149
LUKHOLWENI,19938.14942423863
MARQUARD,17015.951981783135
KNYSNA,68513.36651316701
BRIXTON,46018.307566116295
SCHWEIZER-RENEKE,18787.813132990676
MOUNT AYLIFF,98220.19529799937
KRIEL,39306.773179218566
TABASE,7267.271188509415
TOWN HILL,18105.784178611346
MAPHUMULO,57370.05586595575
EVANDER,11150.983138506681
HEUNINGVLEI,5677.274609934735
BIZANA,115006.63674175073
MTUNZINI,79934.5526255079
DORINGKLOOF,1139.3902190065296
CUMBERLAND,1680.6163174552917
CRAMOND,10579.998006817006
JHB CENTRAL,51186.73983444719
MZAMBA,67445.66253368354
COFIMVABA,83460.66884087697
LEBOENG,22226.66359377218
NEWLANDS EAST,76794.77675046463
IKAGENG,107765.1173764509
STELLA,9323.204769879188
ZEERUST,23682.39343667044
WIERDABRUG,111352.61677264358
KOPANONG,60013.58146031891
KWAMAKHUTHA,106709.9295799088
DELPORTSHOOP,15503.141603177379
BLUEWATER,10264.840120331788
MEADOWLANDS,143810.6371380364
GAMALAKHE,32834.146324331734
GANYESA,55687.84135819359
ESTCOURT,47844.39084272336
BUFFALO FLATS,40238.554395500185
ALICE,44033.995112283104
SUNDRA,18918.593078386133
MACLEAR,11699.242644179096
ZELE,28214.00268656083
SETLAGOLE,27233.605613572727
HLOGOTLOU,77174.0026503567
BITYI,73690.82558582889
CAPE TOWN CENTRAL,35018.903233463345
TRICHARDT,5981.391733579904
KOLOMANE,1647.844931362041
UMZINTO,42757.28262354041
VOSLOORUS,165755.21599116805
ILINGE,17412.471127749024
PABALELLO,18007.588144954138
MAKUYA,19265.590663625102
LUCKHOFF,4307.812196170332
NHLANHLENI,59013.72038943714
MACLEANTOWN,10433.180598574096
VANDERBIJLPARK,137061.51658848362
MITCHELLS PLAIN,195376.9281294219
BOETSAP,529.3440658122806
HIGHFLATS,63173.411280488705
MSINGA,118363.39079282744
MURRAYSBURG,7427.378113428531
BETHELSDORP,144155.82072907742
SASELAMANI,63418.24927703906
ELSBURG,45024.312366995204
TSHAULU,43483.77509268915
MOGWASE,119032.07286334087
BELA-BELA,58986.89480854631
ZEBEDIELA,30822.983765177836
BIESIESVLEI,12731.141280606133
NEMATO,18222.91257932597
LIBODE,119919.32606647669
PROTEA GLEN,127729.1696922636
KIRKWOOD,23558.898458663432
PILGRIM'S REST,2173.440405570133
STEVE VUKILE TSHWETE,17897.68578660176
SWARTRUGGENS,18209.610447857744
VULINDLELA,63467.71018669529
RIETGAT,219570.5588476762
SOSHANGUVE,96465.61475551598
HEUNINGSPRUIT,1369.1510560389638
HONDEKLIP BAY,1053.390210710519
ALLDAYS,6409.8321261088395
MARIANNHILL,123567.67312878386
KIDDS BEACH,13078.574768775981
TAMARA,18761.929802870516
DE AAR,14307.796674717109
LWANDLE,65146.084404750916
PHUTHADITJHABA,81193.90201671142
KENSINGTON,25606.956339193846
EZIBAYENI,21104.31175780025
MANDENI,11362.483510628927
GRAVELOTTE,4485.939850528815
EKANGALA,48446.76548345706
MOUNTAIN RISE,122615.83412425879
LAAIPLEK,13765.530401585813
NEWCASTLE,66052.91278450108
HOOPSTAD,19255.06677091986
SPRINGS,113681.95949176575
SILOAM,61820.91325519104
DUNNOTTAR,10478.821226906462
VOSBURG,1764.0108536366947
STILL BAY,8189.017720369465
HOFMEYR,5066.783677015026
WESTONARIA,34420.99783261418
BARKLY EAST,13077.456792393934
WITDRAAI,1501.6450881595347
MAFUBE,28022.828680114635
ARLINGTON,4900.381469363352
